cebudailynews;2018-11-09 09:15;6;11;"LOOK: The aftermath of the fire that hit a residential area in Sitio Sugarlandia, Barangay Bacayan in Cebu City last night. | Junjie Mendoza pic.twitter.com/U6Ydr1ywyH";;;;"1060702434798952448";https://twitter.com/cebudailynews/status/1060702434798952448
manilabulletin;2018-11-09 08:12;0;1;"LOOK: Fire aftermath in Barangay Bacayan Cebu City. Atleast 9 houses were razed by dawn fire . | via @JuanCarloDeVel3 pic.twitter.com/3CumD50jys";;@JuanCarloDeVel3;;"1060686455746420736";https://twitter.com/manilabulletin/status/1060686455746420736
cebudailynews;2018-11-09 20:53;0;1;"ICYMI: Nine houses razed in Bacayan https:// cebudailynews.inquirer.net/202792/nine-ho uses-razed-in-bacayan?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1541765067 …";;;#Echobox;"1060877985102917633";https://twitter.com/cebudailynews/status/1060877985102917633
welovemabolo;2018-11-09 10:18;0;0;Our Mabolo Smart Disaster Team is alert in responding to the fire in Sitio Sugarlandia, Barangay Bacayan.";;;#serbisyobarangay #SmartAksyonAgad;"1060718181763952645";https://twitter.com/welovemabolo/status/1060718181763952645
cebudailynews;2018-11-09 09:15;6;11;"LOOK: The aftermath of the fire that hit a residential area in Sitio Sugarlandia , Barangay Bacayan in Cebu City last night. | Junjie Mendoza pic.twitter.com/U6Ydr1ywyH";;;;"1060702434798952448";https://twitter.com/cebudailynews/status/1060702434798952448
_keighsuke;2018-11-09 08:01;0;0;"Fire at sugarlandia";;;;"1060683753649885184";https://twitter.com/_keighsuke/status/1060683753649885184
cebudailynews;2018-11-09 18:34;0;2;"JUST IN: Firefighters from the Basak San Nicolas fire substation have responded to an alarm in Sitio Basak Ubos Puso, Barangay Basak San Nicolas, Cebu City | Benjie Talisic pic.twitter.com/ybHrL9AlKi";;;;"1060842952115740672";https://twitter.com/cebudailynews/status/1060842952115740672
cebudailynews;2018-11-09 09:15;6;11;"LOOK: The aftermath of the fire that hit a residential area in Sitio Sugarlandia, Barangay Bacayan in Cebu City last night. | Junjie Mendoza pic.twitter.com/U6Ydr1ywyH";;;;"1060702434798952448";https://twitter.com/cebudailynews/status/1060702434798952448
manilabulletin;2018-11-09 08:12;0;1;"LOOK: Fire aftermath in Barangay Bacayan Cebu City. Atleast 9 houses were razed by dawn fire . | via @JuanCarloDeVel3 pic.twitter.com/3CumD50jys";;@JuanCarloDeVel3;;"1060686455746420736";https://twitter.com/manilabulletin/status/1060686455746420736
vmsabal;2018-08-04 20:17;0;8;"Atm: Firetrucks and ambulance passing by Buhisan road behind DBTC.";;;;"1025717434878111747";https://twitter.com/vmsabal/status/1025717434878111747
RusselQuijada;2018-08-04 20:07;0;1;"There is a large fire here @brgy. buhisan cebu city";;@brgy;;"1025714753069408256";https://twitter.com/RusselQuijada/status/1025714753069408256
cebudailynews;2018-08-04 20:00;3;2;"JUST IN: Authorities are verifying a fire alarm in Barangay Buhisan , Cebu City. More on this shortly / @jnj_mendoza pic.twitter.com/GKUak50Oiw";;@jnj_mendoza;;"1025713173813284864";https://twitter.com/cebudailynews/status/1025713173813284864
renzodelro;2018-08-04 19:57;0;0;"ANOTHER FIRE ALARM FOR VERIFICATION VICINITY OF BUHISAN BARANGAY HALL, CEBU CITY";;;;"1025712392146182145";https://twitter.com/renzodelro/status/1025712392146182145
